galaxy,stationary_role,public_source_family,acquisition_status,numeric_rows_or_model,source_quantity,helium_status,preferred_public_source,source_artifact,notes
CamB,calibration,"Begum Chengalur & Hopp 2003 / FIGGS",analytic_profile_recovered,analytic_model,"raw HI surface density","helium not included; source mass model applies x1.4 separately",1,"data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv","CamB = KK44. Native angular Gaussian model recovered; common normalization pending."
KK98-251,calibration,"Begum & Chengalur 2004/2005 / FIGGS",analytic_profile_recovered,analytic_model,"raw HI surface density","helium not included; source mass model applies x1.4 separately",1,"data/stationary/source_reconstruction/begum_chengalur_analytic_profile_parameters_v1.csv","KK98-251 = KK251. Native angular offset-Gaussian model recovered; common normalization pending."
NGC3741,calibration,"Begum et al. 2008",direct_profile_identified_numeric_pending,0,"gas surface mass density from HI","published Figure 5 already includes helium x1.3",0,"validation/stationary/BEGUM_CHENGALUR_PROFILE_AUDIT_V1.md","Direct Figure 5 profile/conventions recovered; numerical curve still pending."
UGC05829,blind,"Taylor et al. 1994",public_HI_map_confirmed_profile_pending,0,"VLA HI synthesis map","profile helium convention not yet applicable",0,"validation/stationary/TAYLOR1994_UGC05829_AUDIT_V1.md","Corrected from false van Zee attribution. Public map source confirmed; reusable radial profile not yet recovered."
UGCA442,blind,"Cote Carignan & Freeman 2000",direct_profile_identified_numeric_pending,0,"published gas surface density","published Figure 3 already includes 4/3 helium",0,"validation/stationary/COTE2000_PROFILE_AUDIT_V1.md","One of the exact three Cote frozen overlaps; Figure 3 digitization pending."
DDO161,calibration,"Cote Carignan & Freeman 2000",direct_profile_identified_numeric_pending,0,"published gas surface density","published Figure 3 already includes 4/3 helium",0,"validation/stationary/COTE2000_PROFILE_AUDIT_V1.md","One of the exact three Cote frozen overlaps; Figure 3 digitization pending."
ESO444-G084,blind,"Cote Carignan & Freeman 2000",direct_profile_identified_numeric_pending,0,"published gas surface density","published Figure 3 already includes 4/3 helium",0,"validation/stationary/COTE2000_PROFILE_AUDIT_V1.md","One of the exact three Cote frozen overlaps; Figure 3 digitization pending."
UGC00191,calibration,"van Zee et al. 1997",source_family_identified_numeric_pending,0,"direct HI profile source family","primary profile convention pending",0,"validation/stationary/VANZEE1997_PROFILE_AUDIT_V1.md","Frozen overlap from normal comparison subset; original numerical profile still pending."
UGC00891,calibration,"van Zee et al. 1997",source_family_identified_numeric_pending,0,"direct HI profile source family","primary profile convention pending",0,"validation/stationary/VANZEE1997_PROFILE_AUDIT_V1.md","Frozen overlap from normal comparison subset; original numerical profile still pending."
UGC05716,blind,"van Zee et al. 1997",source_family_identified_numeric_pending,0,"direct HI profile source family","primary profile convention pending",0,"validation/stationary/VANZEE1997_PROFILE_AUDIT_V1.md","Frozen overlap from LSBDG subset; original numerical profile still pending."
UGC05764,calibration,"van Zee et al. 1997",source_family_identified_numeric_pending,0,"direct HI profile source family","primary profile convention pending",0,"validation/stationary/VANZEE1997_PROFILE_AUDIT_V1.md","Frozen overlap from normal comparison subset; original numerical profile still pending."
UGC11820,blind,"van Zee et al. 1997",source_family_identified_numeric_pending,0,"direct HI profile source family","primary profile convention pending",0,"validation/stationary/VANZEE1997_PROFILE_AUDIT_V1.md","Frozen overlap from LSBDG subset; original numerical profile still pending."
DDO154,calibration,"Leroy et al. 2008 / THINGS",raw_source_profile_ingested,7,"source-published SigmaHI","already includes helium",1,"data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv","Machine-readable VizieR table7 profile ingested unchanged; common normalization pending."
DDO168,calibration,"Iorio et al. 2017 / LITTLE THINGS",raw_source_profile_ingested,15,"raw HI surface density","helium not included",1,"data/stationary/source_reconstruction/iorio2017_ddo168_hi_profile_v1.csv","OUP supplementary online table ingested selectively; 15 source rows, 0.31-4.69 kpc, primary-beam corrected; common normalization pending."
IC2574,calibration,"Leroy et al. 2008 / THINGS",raw_source_profile_ingested,46,"source-published SigmaHI","already includes helium",1,"data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv","Machine-readable VizieR table7 profile ingested unchanged; common normalization pending."
NGC2403,blind,"Leroy et al. 2008 / THINGS",raw_source_profile_ingested,57,"source-published SigmaHI","already includes helium",1,"data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv","Machine-readable VizieR table7 profile ingested unchanged; common normalization pending."
NGC2841,calibration,"Leroy et al. 2008 / THINGS",raw_source_profile_ingested,25,"source-published SigmaHI","already includes helium",1,"data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv","Machine-readable VizieR table7 profile ingested unchanged; common normalization pending."
NGC2976,calibration,"Leroy et al. 2008 / THINGS",raw_source_profile_ingested,26,"source-published SigmaHI","already includes helium",1,"data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv","Machine-readable VizieR table7 profile ingested unchanged; common normalization pending."
NGC3198,calibration,"Leroy et al. 2008 / THINGS",raw_source_profile_ingested,23,"source-published SigmaHI","already includes helium",1,"data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv","Machine-readable VizieR table7 profile ingested unchanged; common normalization pending."
NGC3521,blind,"Leroy et al. 2008 / THINGS",raw_source_profile_ingested,30,"source-published SigmaHI","already includes helium",1,"data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv","Machine-readable VizieR table7 profile ingested unchanged; common normalization pending."
NGC5055,blind,"Leroy et al. 2008 / THINGS",raw_source_profile_ingested,43,"source-published SigmaHI","already includes helium",1,"data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv","Machine-readable VizieR table7 profile ingested unchanged; common normalization pending."
NGC6946,blind,"Leroy et al. 2008 / THINGS",raw_source_profile_ingested,41,"source-published SigmaHI","already includes helium",1,"data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv","Machine-readable VizieR table7 profile ingested unchanged; common normalization pending."
NGC7331,calibration,"Leroy et al. 2008 / THINGS",raw_source_profile_ingested,33,"source-published SigmaHI","already includes helium",1,"data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv","Machine-readable VizieR table7 profile ingested unchanged; common normalization pending."
NGC7793,blind,"Leroy et al. 2008 / THINGS",raw_source_profile_ingested,38,"source-published SigmaHI","already includes helium",1,"data/stationary/source_reconstruction/leroy2008_things_hi_profiles_v1.csv","Machine-readable VizieR table7 profile ingested unchanged; common normalization pending."
NGC1090,calibration,"previous direct-profile branch",recover_exact_extraction_artifact,0,"direct HI profile extraction","source convention already settled in prior branch",0,"PROJECT_LEDGER.md","Scientific choice settled: original fig2.eps filled-circle average series. Exact coordinate/QC artifact must be restored before source freeze."
