source_family,reported_galaxy_count,public_status,public_route,redistribution_status,notes
Swaters et al. (2002),37,public_article_atlas_confirmed,WHISP paper atlas; seek public WHISP image products before digitization,to_audit,"Paper explicitly presents HI maps and radial surface-density profiles for 73 late-type dwarfs. No machine-readable radial-profile table verified yet; preferred route is public map extraction, fallback is reproducible figure digitization."
Verheijen & Sancisi (2001),27,public_atlas_plus_summary_catalog,VizieR J/A+A/370/765 plus A&A atlas,to_audit,"Article explicitly presents radial HI profiles. CDS tables contain galaxy/rotation/global-HI summaries but not the radial profile samples; preferred route is public atlas/map recovery, with figure digitization only if no map product is available."
de Blok et al. (1996),16,public_article_confirmed,arXiv astro-ph/9605069; UMD DRUM/publisher/author archive,to_audit,"Public full text confirmed and paper is known to contain HI surface-density profiles; machine-readable radial-profile or map route still requires galaxy-level audit."
Noordermeer et al. (2005),12,public_atlas_plus_summary_catalog,VizieR J/A+A/442/137 plus WHISP atlas,to_audit,"Paper appendix explicitly presents radial surface-density profiles. VizieR tables provide HI properties/observational metadata rather than radial samples; seek public WHISP maps first, otherwise reproducible atlas digitization."
Richards et al. (2015, 2016),9,public_articles_and_radio_products_reported,arXiv/publisher plus VLA/WSRT archival products,to_audit,"2016 paper states HI surface-density distributions were measured from integrated-intensity maps; galaxy-level data-product links still to audit."
Lelli et al. (2014),8,public_fits_route_confirmed,VizieR J/A+A/566/A71 cube/fits; DOI 10.26093/cds/vizier.35660071,to_audit,"Public VizieR dataset exposes HI cube/FITS products. Preferred route is direct annular extraction from public FITS, preserving geometry/beam provenance; do not digitize figures when FITS is available."
Broeils (1992),7,public_thesis_confirmed,University of Groningen thesis repository,to_audit,"Full thesis publicly downloadable; extract/profile-table or public map route and redistribution audit still required."
Begeman (1987),6,public_bibliographic_record_confirmed,University of Groningen/Open Library thesis route,to_audit,"Thesis existence/public bibliographic route confirmed; full data-product access still to audit."
van der Hulst et al. (1993),6,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
van Zee et al. (1997),6,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Spekkens & Giovanelli (2006),5,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Gentile et al. (2004),4,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Cote et al. (2000),3,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Begum et al. (2003, 2005),2,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Fraternali et al. (2011),2,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Hallenbeck et al. (2014),2,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Carignan & Puche (1990a,b),2,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Begum & Chengalur (2004),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Barbieri et al. (2005),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Boomsma et al. (2008),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Carignan et al. (1988),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Carignan & Beaulieu (1989),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Chemin et al. (2006),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Cote et al. (1991),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Jobin & Carignan (1990),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Kepley et al. (2007),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Lake et al. (1990),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Puche et al. (1991),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Rhee & van Albada (1996),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Roelfsema & Allen (1985),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Verdes-Montenegro et al. (1997),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
Walsh et al. (1997),1,to_audit,original literature / archives,to_audit,"Galaxy-level public-data audit required."
